author,nid,affiliation,google_scholar_ID
Paul Burstein,76855,University of Washington,"""oxjRI5YAAAAJ"""
Paul Dimaggio,58437,New York University,"""0A5Gnc0AAAAJ"""
Paul Lichterman,37879,University of Southern California,Missing
Paul Starr,13724,Princeton University,Missing
Paula S England,80425,New York University,"""u8_cxocAAAAJ"""
Peggy A Thoits,83877,Indiana University,Missing
Peter Bearman,28067,Columbia University,"""sfaRGkUAAAAJ"""
Peter Evans,36492,UC Berkeley,"""J27wOrMAAAAJ"""
Peter Hedstrom,41482,"Linkoping University, Sweden","""0GSbsgsAAAAJ"""
Peter J Burke,34510,"University of California, Riverside","""V1gM_lyrx1wC"""
Peter V Marsden,32677,Harvard University,Missing
Phil Gorski,72272,Yale University,"""8ykl9K0AAAAJ"""
Phil Kasinitz,25065,City University of New York,"""nrqUCHUAAAAJ"""
Phyllis Moen,87211,University of Minnesota,"""uHC3CnQAAAAJ"""
Pierrette Hondagneusotelo,26247,University of Southern California,Missing
Prudence Carter,14976,Brown University,"""HZzSh7wAAAAJ"""
Randall Collins,45147,U Pennsylvania,Missing
Rashawn Ray,51658,University of Maryland - College Park,"""M5nghbcAAAAJ"""
Reynolds Farley,60951,University of Michigan,Missing
Rhacel Parrenas,90520,University of Southern California,"""2k7ehq0AAAAJ"""
Richard Alba,46297,"The Graduate Center, City University of New York","""OTbb8b8AAAAJ"""
Richard Arum,24025,University of California Irvine,"""xt0cQ_oAAAAJ"""
Richard Breen,63120,Oxford University,"""peGwkbcAAAAJ"""
Richard Miech,53360,University of Michigan,"""nFuGgG8AAAAJ"""
Richard Swedberg,24009,Cornell University,"""i4itDrkAAAAJ"""
Rick Fantasia,35387,Smith College,Missing
Riley Dunlap,52688,Oklahoma State University,"""JIxGyRwAAAAJ"""
Robert A Hummer,62693,UNC Chapel Hill,"""rfgSZsAAAAAJ"""
Robert Crosnoe,72883,University of Texas - Austin,"""K-y3E_kAAAAJ"""
Robert Faulkner,68874,"University of Massachusetts, Amherst",Missing
Robert J Sampson,56461,Harvard University,"""n6LdssUAAAAJ"""
Robert M Hauser,41243,American Philosophical Society (executive officer),"""fJG_BVgAAAAJ"""
Robert Nash Parker,60442,University of California Riverside,"""O4Pq0HgAAAAJ"""
Robert Nelson,58733,American Bar Foundation,Missing
Robert Robinson,37077,Indiana University,Missing
Robert Smith,10428,"Baruch College, City University of New York",Missing
Robert Wuthnow,34181,Princeton University,"""0MVbAqUAAAAJ"""
Roberto Fernandez,36336,M.I.T.,"""UzDONQMAAAAJ"""
Robin Simon,63024,Wake Forest University,"""77ljeWIAAAAJ"""
Robin Stryker,20086,Purdue University,"""2jM11-MAAAAJ"""
Robin Wagnerpacifici,53306,New School for Social Research,Missing
Roger Finke,21671,Penn State University,"""N0fZdsUAAAAJ"""
Roger Waldinger,21422,UCLA,"""GvSYk80AAAAJ"""
Ronald Breiger,28099,University of Arizona,"""yAyrk0cAAAAJ"""
Ronald Rindfuss,51635,University of North Carolina - Chapel Hill,Missing
Ronald S Burt,19702,University of Chicago,"""YmoiCIcAAAAJ"""
Rory Mcveigh,45350,Notre Dame,"""yWSee08AAAAJ"""
Rosabeth Moss Kanter,87292,Harvard Business School,Missing
Rosemary Gartner,27503,University of Toronto,"""IC61-08AAAAJ"""
Ross Matsueda,40641,University of Washington,"""3QODXm0AAAAJ"""
Ross Stolzenberg,85102,University of Chicago,"""fD8LEm0AAAAJ"""
